Japanese,English
クラブ,club
機能,function
天,Heaven
サッカー,soccer
部隊,troops
搭載,mounted
初めて,first time
兵,soldier
高校,high school
公開,public
党,party
編成,organization
運動,motion
量,amount
時期,season
センター,center
製作,production
藩,domain
強い,strong
企業,company
受賞,Award
付く,attached
院,Hospital
店,shop
戦闘,battle
結ぶ,tie
目的,the purpose
通常,usually
対応,correspondence
残る,remain
勝利,victory
ホーム,Home
管理,management
至る,reach
団,group
木,tree
最終,final
基本,basic
教授,professor
ドラマ,drama
挙げる,list
構造,structure
作曲,Composition
アニメ,anime
設計,design
実施,implementation
現,current
長い,long
メンバー,member
領,territory
交通,traffic
室,room
協会,association
女子,girls
者,person
設定,setting
発見,discovery
契約,contract
信,Faith
英語,English
生活,life
連合,union
自動車,car
指揮,command
色,color
自分,myself
及ぶ,extend
ラジオ,radio
歌,song
重,heavy
規模,scale
移籍,transfer
思う,think
廃止,abolition
名前,name
重要,important
成功,success
原,original
予定,schedule
特別,special
認める,admit
キャラクター,character
巻,volume
最高,the best
加える,add
ここ,here
バンド,band
再び,again
武,Takeshi
実際,actual
そこ,There
似る,similar
組,set
運転,driving
専門,specialty
出版,publication
内容,Content
煎る,roast
個,pieces
小学校,primary school
義,righteousness
数,number
終わる,end
例,example
リリース,release
合わせる,match
大戦,Great War
科学,science
運行,Operation
対,versus
北海道,Hokkaido
士,scholar
ヨーロッパ,Europe
群,group
少ない,few
指定,designation
江戸,Edo
ところ,place
陸軍,army
残す,leave
教会,church
